bc	1.07.1-3ubuntu4
binutils	2.42-4ubuntu2.8
bison	2:3.8.2+dfsg-1build2
build-essential	12.10ubuntu1
cpio	2.15+dfsg-1ubuntu2
ffmpeg	7:6.1.1-3ubuntu5
flex	2.6.4-8.2build1
gcc-13	13.3.0-6ubuntu2~24.04.1
git	1:2.43.0-1ubuntu7.3
libelf-dev:amd64	0.190-1.1ubuntu0.1
libncurses-dev:amd64	6.4+20240113-1ubuntu2.1
libssl-dev:amd64	3.0.13-0ubuntu3.12
make	4.3-4.1build2
pahole	1.25-0ubuntu3
python3	3.12.3-0ubuntu2.1
rsync	3.2.7-1ubuntu1.5
usbutils	1:017-3build1
v4l-utils	1.26.1-4build3
